;acul;cary;edul;eleg;fisc;kuhl;pohl;scho;trin;vulg;wedd;witt
RO1;0;0;201,61;0;0;0;201,61;0;0;0;0;0
RO2;85,91;0;0;85,91;0;0;343,64;0;0;0;0;0
RO3;0;0;0;0;0;0;877,19;0;0;0;0;0
RO4;0;0;201,61;0;0;0;201,61;0;0;0;0;0
CP1;0;0;0;0;0;0;0;0;0;0;769,23;0
CP2;0;0;0;0;0;0;0;0;0;0;2222,22;0
CP3;0;0;0;0;0;0;0;170,07;0;0;850,34;0
CP4;0;208,33;0;104,17;0;0;0;0;0;0;0;0
CP5;0;95,79;191,57;0;0;0;287,36;0;0;0;0;0
CP6;0;0;0;175,44;0;0;350,88;0;0;0;0;0
RE1;0;0;0;0;0;0;37,88;189,39;0;0;0;0
RE2;0;0;303,03;75,76;0;0;0;75,76;0;0;0;0
RE3;0;0;51,02;0;0;0;0;34,01;0;0;0;0
RE4;16,67;0;16,67;0;0;0;0;16,67;0;0;0;0
RE5;0;0;16,67;0;0;0;0;0;0;0;0;0
RE6;0;0;0;0;0;1041,67;0;2083,33;0;0;0;0
RE7;52,08;52,08;0;0;0;0;0;208,33;0;0;0;0
RE8;0;0;166,67;0;0;0;0;0;166,67;666,67;0;0
RE9;75,76;75,76;0;0;0;0;0;227,27;75,76;0;0;0
RE10;0;0;64,1;0;0;0;0;192,31;0;64,1;0;0
RE11;333,33;0;0;0;0;0;333,33;1333,33;0;0;0;0
RE12;0;0;0;277,78;277,78;0;0;1111,11;0;0;0;0
RE13;0;0;0;79,37;396,83;0;0;0;0;0;0;0
RE14;0;0;57,08;114,16;114,16;0;0;57,08;0;0;0;0
RE15;0;0;0;0;819,67;0;0;0;0;0;0;0
RE16;0;0;0;0;961,54;961,54;0;0;0;0;0;0
RE17;0;0;0;0;0;0;0;527,43;0;0;105,49;0
RE18;0;0;0;0;0;0;0;1149,43;0;0;574,71;0
RE19;0;0;151,52;0;151,52;0;0;454,55;0;151,52;0;0
RE20;0;0;320,51;0;0;0;0;1602,56;0;0;0;0
CPp1;0;0;694,44;0;347,22;0;0;0;0;0;0;0
CPp2;0;0;325,52;0;0;0;0;65,1;0;0;0;0
PRI1;0;0;714,29;0;0;0;0;0;0;0;0;0
PRI2;0;0;925,93;0;0;0;0;0;0;0;0;0
PRI3;0;0;478,93;0;95,79;0;0;0;0;0;0;0
PRI4;0;0;968,99;0;0;0;0;193,8;0;0;0;0
PRI5;0;0;213,68;0;0;0;0;213,68;0;0;0;0
PRI6;0;0;1488,1;0;0;0;0;297,62;0;0;0;0
CAMP1;0;0;403,23;0;0;0;0;0;0;0;0;0
MZ1;0;0;666,67;0;0;0;0;0;0;0;0;0
RF1;0;0;1111,11;0;0;0;0;555,56;0;0;0;0
RF2;0;0;454,55;0;0;0;0;0;0;0;0;0
RF3;0;0;312,5;0;0;0;0;0;0;0;0;0
RF4;0;0;147,06;0;0;0;0;0;0;0;0;0
RF5;0;0;208,33;0;41,67;0;0;0;0;0;0;0
RF6;0;0;65,79;0;0;0;21,93;0;0;0;0;43,86
RF7;0;0;0;0;0;0;16,67;0;0;0;0;33,33
RF8;0;0;0;0;0;0;0;0;0;0;0;33,33
RF9;0;0;69,44;0;0;0;69,44;0;0;0;0;277,78
RF10;0;0;0;0;0;0;0;0;0;0;0;50
