;pH;P;K;Ca;Mg;H_Al;SB;CTC;V;AF;SLT;ARG;MO;N
RO1;3,8;8,8;1,86;8,5;3,5;108,9;13,86;122,8;11,28;296;166;538;50,54;4,97
RO2;3,6;11,2;2,04;1,5;1,9;108,9;5,44;114,4;4,75;706;66;228;44,76;3,64
RO3;3,7;12,4;1,36;1,2;2;71,49;4,56;76,05;6;716;57;227;37,18;3,78
RO4;4,4;10,6;2,28;18,3;3,8;34,19;24,38;58,57;41,63;761;114;126;35,74;3,64
CP1;3,6;9,8;1,45;0,6;1,7;98,07;3,75;101,8;3,68;524;120;356;56,68;3,57
CP2;3,6;11,2;1,38;0,6;1,4;88,26;3,38;91,64;3,69;672;101;227;50,9;3,22
CP3;3,7;11,8;1,44;0,6;1,6;64,34;3,64;67,98;5,35;703;69;228;32,85;3,29
CP4;4,8;20;3,91;37,7;10,1;52,12;51,71;103,8;49,8;724;98;178;55,59;6,09
CP5;4,6;14;8,1;20,5;8;52,12;36,6;88,72;41,25;642;105;254;34,66;3,99
CP6;4,8;19,6;7,8;57;8,4;57,91;73,2;131,1;55,83;704;117;178;74,37;6,37
RE1;3,6;8,8;1,69;3,5;2;88,26;7,19;95,45;7,53;749;75;176;34,3;3,85
RE2;3,6;10,8;1,47;0,9;1,8;98,07;4,17;102,2;4,08;754;95;151;44,04;3,29
RE3;3,6;12;1,56;0,9;2,4;79,44;4,86;84,3;5,77;670;79;252;36,82;3,64
RE4;3,7;12;1,39;1,7;1,9;52,12;4,99;57,11;8,74;745;79;176;30,32;6,09
RE5;3,5;12,4;1,26;2,4;1,6;98,07;5,26;103,3;5,09;715;83;202;44,76;4,55
RE6;3,6;10;1,8;3,8;2,8;166;8,4;174,4;4,81;784;36;180;66,06;5,32
RE7;3,7;16,4;1,74;2;2,2;98,07;5,94;104;5,71;696;77;228;44,76;4,76
RE8;3,5;13,2;1,61;2,3;1,9;88,26;5,81;94,07;6,18;684;88;228;39,71;3,64
RE9;3,6;17,2;1,9;3,3;2,4;98,07;7,6;105,6;7,19;684;89;227;43,32;3,29
RE10;3,7;15,8;2,07;5,5;3,4;98,07;10,97;109;10,06;689;81;230;48,37;3,99
RE11;3,7;13;1,9;4,3;1,9;108,9;8,1;117;6,92;662;85;253;49,1;3,36
RE12;3,7;19,8;2,28;7,1;3;88,26;12,38;100,6;12,3;670;52;278;42,96;3,5
RE13;3,8;45,8;2,17;14;3,4;134,5;19,57;154,1;12,7;680;65;255;64,26;5,81
RE14;3,6;35,8;2,41;10,1;3,7;166;16,21;182,3;8,89;661;84;256;88,44;5,18
RE15;3,9;48;2,24;10,1;2,8;98,07;15,14;113,2;13,37;651;69;280;43,32;3,85
RE16;3,6;54,4;2,4;8,8;2,9;184,5;14,1;198,6;7,1;684;88;228;75,45;4,48
RE17;3,6;14,4;2,25;2,7;2,6;108,9;7,55;116,5;6,48;651;71;278;50,54;3,57
RE18;3,8;25,2;2,91;5,7;4,8;121;13,41;134,4;9,97;624;71;305;75,09;3,85
RE19;3,6;13,4;1,84;0,6;1,9;121;4,34;125,4;3,46;634;37;329;45,49;3,92
RE20;3,5;22,6;2,25;0,6;2,6;166;5,45;171,5;3,18;575;71;354;80,5;5,95
CPp1;3,6;26,2;2,25;5,8;2,8;149,4;10,85;160,3;6,77;709;164;127;82,67;5,11
CPp2;3,5;9,6;1,8;4,9;3,9;134,5;10,6;145,1;7,3;728;120;152;84,47;4,48
PRI1;4,4;17,2;2,57;27,8;9,7;98,07;40,07;138,1;29,01;628;185;186;109,38;9,8
PRI2;3,7;19,4;2,06;9;4,1;149,4;15,16;164,6;9,21;538;285;177;81,22;5,74
PRI3;3,8;28,2;2,46;4,4;2,9;166;9,76;175,8;5,55;603;216;181;101,08;7,49
PRI4;3,8;14;2,18;16,7;5,3;121;24,18;145,2;16,65;584;187;229;63,17;5,32
PRI5;3,9;17,4;2,52;10,4;4,6;121;17,52;138,6;12,64;682;141;177;69,31;5,32
PRI6;4;22;2,49;19,8;7,1;134,5;29,39;163,9;17,93;610;297;92;109,02;8,4
CAMP1;4;18;2,81;11,6;5,2;98,07;19,61;117,6;16,66;635;162;203;67,15;5,39
MZ1;3,9;14,8;2,81;9,9;3,9;108,9;16,61;125,5;13,23;662;136;203;73,28;4,55
RF1;3,6;11,8;2,13;0,6;3,1;149,4;5,83;155,3;3,75;719;153;128;87,72;6,51
RF2;3,5;22,4;2,21;0,6;3;166;5,81;171,9;3,38;629;241;130;82,31;5,74
RF3;3,5;28,6;2,47;7,5;3,8;166;13,77;179,8;7,66;771;151;78;108,3;7,42
RF4;3,5;22,8;2,09;0,2;2,6;205;4,89;209,9;2,33;674;198;128;101,44;6,3
RF5;3,2;24;2,29;0,6;3,2;281,2;6,09;287,3;2,12;696;223;82;142,96;9,87
RF6;3,5;30,8;2,51;8,4;3,3;205;14,21;219,2;6,48;740;183;77;127,79;5,95
RF7;3,6;42;3,42;13,6;6,4;227,8;23,42;251,2;9,32;602;211;187;140,07;9,8
RF8;3,4;24,8;2,62;4,2;4,5;253,1;11,32;264,4;4,28;475;292;234;141,87;9,69
RF9;3,3;42;2,73;2,9;3,3;253,1;8,93;262;3,41;675;197;128;129,6;6,65
RF10;3,5;43;2,17;1,5;3,3;253,1;6,97;260,1;2,68;552;232;216;132,13;7,67
