;pH;P;K;Ca;Mg;H_Al;SB;CTC;V;AG;AF;SLT;ARG;MO;N
RO1;4;18;1,7;16;135;4;21,4;156;14;180;106;221;493;71;0,224
RO2;3,9;15;1;5;149;2;7,8;157,2;5;213;126;182;479;73;3,367
RO3;3,9;15;1,9;8;135;3;12,5;147,1;9;221;124;178;477;68;3,521
RO4;4,4;16;2,6;18;52;3;24,4;76,5;32;593;131;50;226;49;1,82
CP1;3,7;11;0,9;2,9;109;0,9;4,1;113,1;4;478;126;18;378;59;2,086
CP2;3,5;15;1;2,9;109;0,9;3,2;112,2;3;564;92;41;302;62;2,387
CP3;3,6;53;2,7;2,9;98;0,9;6,3;104,4;6;503;104;65;328;48;2,073
CP4;4,9;22;3,3;39;52;9;50,9;103;49;506;195;72;227;62;4,109
CP5;4,7;15;4;24;58;7;34,7;92,6;37;461;164;99;277;52;2,849
CP6;4,6;18;3,9;39;79;6;48,1;127,6;38;471;169;83;277;91;4,34
RE1;3,5;36;3,2;3;121;0,9;7,4;128,5;6;528;148;72;252;36;2,1
RE2;3,6;34;1,6;2,9;149;0,9;4;153,5;3;458;204;87;251;55;3,073
RE3;3,7;17;1,2;2,9;109;0,9;3,2;112,1;3;437;203;84;277;38;2,492
RE4;3,7;11;0,9;2,9;79;0,9;2,7;82,1;3;484;182;83;251;30;1,75
RE5;3,5;13;1,2;2,9;121;0,9;3,5;124,6;3;474;172;79;276;48;3,227
RE6;3,7;14;1,8;5;205;2;8,3;213,3;4;453;203;57;286;68;3,969
RE7;3,7;14;1,7;2,9;121;0,9;3,8;124,8;3;394;253;95;258;39;2,226
RE8;3,6;15;1,2;2,9;135;0,9;2,3;136,9;2;468;177;71;285;35;2,114
RE9;3,6;22;2,2;2,9;121;1;5,2;126,3;4;434;157;78;332;45;2,639
RE10;3,7;18;2,2;6;166;2;10,4;176,5;6;405;127;86;382;62;3,031
RE11;3,6;17;1,9;2,9;135;0,9;5;139,5;4;420;179;70;331;48;3,066
RE12;3,8;20;2,1;5;135;2;9,3;143,9;6;534;149;91;226;53;2,863
RE13;3,9;48;2,3;14;135;2;18;152,6;12;366;168;80;386;66;4,004
RE14;3,7;32;2;3;228;1;6,6;234,4;3;545;121;83;251;74;4,515
RE15;3,9;46;1,9;5;135;0,9;8,1;142,6;6;597;132;70;201;43;2,744
RE16;3,8;42;2,1;8;185;2;11,8;196,4;6;560;133;81;226;78;4,452
RE17;3,7;13;2,3;2,9;166;0,9;4,4;170,5;3;181;456;81;282;43;2,506
RE18;3,7;21;2,1;2,9;149;2;6;155,5;4;455;148;96;301;66;4,165
RE19;3,6;15;2;2,9;185;0,9;4,6;189,1;2;502;116;81;301;51;2,947
RE20;3,5;21;2,5;2,9;228;2;5,5;233,4;2;514;140;95;252;77;3,997
CPp1;3,6;24;1,8;2,9;185;2;6,8;191,3;4;442;237;93;228;82;4,655
CPp2;3,5;18;1,3;2,9;166;3;6;172,1;4;580;132;61;228;68;3,381
PRI1;4,7;14;3,1;26;98;11;40,8;138,9;29;526;126;84;264;106;6,685
PRI2;3,7;24;2,2;8;185;4;13,5;198;7;436;174;77;313;86;4,984
PRI3;3,8;25;1,8;2,9;228;1;5,6;233,4;2;425;155;76;344;85;4,305
PRI4;3,9;14;1,4;12;135;3;16,7;151,2;11;402;164;99;335;64;4,004
PRI5;4,1;18;1,8;14;149;3;18,8;168,2;11;495;141;54;310;78;4,109
PRI6;4,2;24;2,9;16;166;5;23,9;190;13;414;321;24;241;108;5,565
CAMP1;4,1;19;2,3;10;121;4;16,2;137,3;12;481;155;55;308;75;3,85
MZ1;3,6;17;1,4;4;166;2;6,9;173;4;475;161;84;280;73;3,619
RF1;3,6;16;1,5;2,9;185;2;3,9;188,5;2;514;192;64;230;162;3,283
RF2;3,6;18;1,6;2,9;228;2;5,1;233;2;419;111;57;413;77;1,26
RF3;3,4;26;1,4;2,9;205;0,9;3,5;208,6;2;536;266;22;176;85;0,91
RF4;3,1;36;1,9;2,9;476;2;6,4;482,8;1;606;182;49;164;97;1,666
RF5;3;49;2,4;2,9;476;2;7,2;483,6;1;478;198;63;262;145;1,561
RF6;3,6;29;2,6;7;228;3;12,5;240,3;5;564;159;13;263;168;1,267
RF7;3,6;29;2,4;10;205;4;15,7;220,8;7;505;231;33;231;125;1,883
RF8;3,5;24;2,2;7;313;4;12,8;325,3;4;441;151;84;324;139;1,414
RF9;3,4;48;2,3;2,9;281;2;7,1;288,4;2;224;362;97;316;130;1,645
RF10;3,4;52;2,3;2,9;347;3;7,6;354,9;2;447;166;46;341;128;2,723
